well	conc	temp	fluorescence
1	1e-4	20.3265	13761.6355
1	1e-4	20.59002	13719.35352
1	1e-4	20.85354	13547.62427
1	1e-4	21.11705	13405.99512
1	1e-4	21.38057	13455.66431
1	1e-4	21.64409	13550.67871
1	1e-4	21.90761	13385.73779
1	1e-4	22.17113	13363.79541
1	1e-4	22.43464	13362.60205
1	1e-4	22.69816	13322.59253
1	1e-4	22.96168	13255.52539
1	1e-4	23.2252	13247.17895
1	1e-4	23.48871	13346.81324
1	1e-4	23.75223	13245.60254
1	1e-4	24.01575	13182.62964
1	1e-4	24.27927	13233.36182
1	1e-4	24.54279	13140.15576
1	1e-4	24.8063	13219.40869
1	1e-4	25.06982	13132.32764
1	1e-4	25.33334	13133.01612
1	1e-4	25.59686	13057.86231
1	1e-4	25.86037	13129.59058
1	1e-4	26.12389	12974.89014
1	1e-4	26.38741	13067.01001
1	1e-4	26.65093	12961.65234
1	1e-4	26.91445	12971.36597
1	1e-4	27.17796	12951.74195
1	1e-4	27.44148	12935.49707
1	1e-4	27.705	13052.46631
1	1e-4	27.96852	12943.30835
1	1e-4	28.23203	12957.27173
1	1e-4	28.49555	12910.92212
1	1e-4	28.75907	12826.11572
1	1e-4	29.02259	12885.76856
1	1e-4	29.28611	12850.96216
1	1e-4	29.54962	12869.84229
1	1e-4	29.81314	12802.3291
1	1e-4	30.07666	12854.20996
1	1e-4	30.34018	12809.92603
1	1e-4	30.60369	12707.02051
1	1e-4	30.86721	12816.58032
1	1e-4	31.13073	12815.50806
1	1e-4	31.39425	12739.67774
1	1e-4	31.65776	12707.53125
1	1e-4	31.92128	12712.17749
1	1e-4	32.1848	12654.03394
1	1e-4	32.44832	12729.78809
1	1e-4	32.71184	12696.16797
1	1e-4	32.97536	12667.06275
1	1e-4	33.23887	12612.6123
1	1e-4	33.50239	12613.61255
1	1e-4	33.76591	12642.94629
1	1e-4	34.02943	12578.45239
1	1e-4	34.29295	12603.00683
1	1e-4	34.55646	12682.0979
1	1e-4	34.81998	12594.59619
1	1e-4	35.0835	12645.54614
1	1e-4	35.34702	12627.03662
1	1e-4	35.61053	12596.01514
1	1e-4	35.87405	12665.07666
1	1e-4	36.13757	12568.50977
1	1e-4	36.40108	12614.89844
1	1e-4	36.6646	12651.61353
1	1e-4	36.92812	12624.33057
1	1e-4	37.19164	12556.30591
1	1e-4	37.45516	12621.75879
1	1e-4	37.71867	12629.0835
1	1e-4	37.98219	12581.98779
1	1e-4	38.24571	12466.5791
1	1e-4	38.50923	12563.31372
1	1e-4	38.77275	12499.70898
1	1e-4	39.03626	12597.83789
1	1e-4	39.29978	12574.69775
1	1e-4	39.5633	12576.21094
1	1e-4	39.82682	12641.56567
1	1e-4	40.09034	12665.92725
1	1e-4	40.35385	12620.06568
1	1e-4	40.61737	12637.55444
1	1e-4	40.88089	12553.15454
1	1e-4	41.14441	12658.57739
1	1e-4	41.40792	12652.84937
1	1e-4	41.67144	12718.93067
1	1e-4	41.93496	12665.77979
1	1e-4	42.19848	12738.12695
1	1e-4	42.462	12643.11426
1	1e-4	42.72551	12667.68555
1	1e-4	42.98903	12662.31714
1	1e-4	43.25255	12805.95435
1	1e-4	43.51607	12743.44214
1	1e-4	43.77959	12830.67725
1	1e-4	44.0431	12887.7544
1	1e-4	44.30662	12885.47852
1	1e-4	44.57014	12955.21582
1	1e-4	44.83366	13014.21191
1	1e-4	45.09718	12953.57105
1	1e-4	45.36069	12969.62451
1	1e-4	45.62421	13090.63257
1	1e-4	45.88773	13114.31153
1	1e-4	46.15125	13189.30713
1	1e-4	46.41476	13202.78906
1	1e-4	46.67828	13216.29614
1	1e-4	46.9418	13354.40454
1	1e-4	47.20531	13397.96118
1	1e-4	47.46883	13440.47827
1	1e-4	47.73235	13562.05762
1	1e-4	47.99587	13652.94214
1	1e-4	48.25938	13662.94946
1	1e-4	48.5229	13779.46484
1	1e-4	48.78642	13782.896
1	1e-4	49.04994	13870.31836
1	1e-4	49.31346	14039.94751
1	1e-4	49.57698	14128.90649
